date,region,product,category,sales_amount,order_count,customer_count,cost,profit
2025-01-01,North,Widget,Hardware,1000.00,40,25,800.00,200.00
2025-01-01,North,Gadget,Hardware,1300.00,52,32,1066.00,234.00
2025-01-01,South,Widget,Hardware,1150.00,46,28,920.00,230.00
2025-01-01,South,Gadget,Hardware,1450.00,58,36,1189.00,261.00
2025-01-01,East,Widget,Hardware,1300.00,52,32,1040.00,260.00
2025-01-01,East,Gadget,Hardware,1600.00,64,40,1312.00,288.00
2025-02-01,North,Widget,Hardware,1040.00,41,26,832.00,
2025-02-01,North,Gadget,Hardware,1340.00,53,33,1098.80,241.20
2025-02-01,South,Widget,Hardware,1190.00,47,29,952.00,238.00
2025-02-01,South,Gadget,Hardware,1490.00,59,37,1221.80,268.20
2025-02-01,East,Widget,Hardware,1340.00,53,33,1072.00,268.00
2025-02-01,East,Gadget,Hardware,1640.00,65,41,1344.80,295.20
2025-03-01,North,Widget,Hardware,1080.00,43,27,864.00,216.00
2025-03-01,North,Gadget,Hardware,1380.00,55,34,1131.60,248.40
2025-03-01,South,Widget,Hardware,1230.00,49,30,984.00,246.00
2025-03-01,South,Gadget,Hardware,1530.00,61,38,1254.60,275.40
2025-03-01,East,Widget,Hardware,1380.00,55,34,1104.00,276.00
2025-03-01,East,Gadget,Hardware,1680.00,67,42,1377.60,302.40
2025-04-01,North,Widget,Hardware,1120.00,44,28,896.00,224.00
2025-04-01,North,Gadget,Hardware,1420.00,56,35,1164.40,255.60
2025-04-01,South,Widget,Hardware,1270.00,50,31,1016.00,254.00
2025-04-01,South,Gadget,Hardware,1570.00,62,39,1287.40,282.60
2025-04-01,East,Widget,Hardware,1420.00,56,35,1136.00,284.00
2025-04-01,East,Gadget,Hardware,1720.00,68,43,1410.40,309.60
2025-05-01,North,Widget,Hardware,1160.00,46,29,928.00,232.00
2025-05-01,North,Gadget,Hardware,1460.00,58,36,1197.20,262.80
2025-05-01,South,Widget,Hardware,1310.00,52,32,1048.00,262.00
2025-05-01,South,Gadget,Hardware,1610.00,64,40,1320.20,289.80
2025-05-01,East,Widget,Hardware,1460.00,58,36,1168.00,292.00
2025-05-01,East,Gadget,Hardware,1760.00,70,44,1443.20,316.80
2025-06-01,North,Widget,Hardware,1200.00,48,30,960.00,240.00
2025-06-01,North,Gadget,Hardware,1500.00,60,37,1230.00,270.00
2025-06-01,South,Widget,Hardware,1350.00,54,33,1080.00,270.00
2025-06-01,South,Gadget,Hardware,1650.00,66,41,1353.00,297.00
2025-06-01,East,Widget,Hardware,1500.00,60,37,1200.00,300.00
2025-06-01,East,Gadget,Hardware,1800.00,72,45,1476.00,324.00
2025-07-01,North,Widget,Hardware,1240.00,49,31,992.00,248.00
2025-07-01,North,Gadget,Hardware,1540.00,61,38,1262.80,277.20
2025-07-01,East,Widget,Hardware,1540.00,61,38,1232.00,308.00
2025-07-01,East,Gadget,Hardware,1840.00,73,46,1508.80,331.20
2025-08-01,North,Widget,Hardware,1280.00,51,32,1024.00,256.00
2025-08-01,North,Gadget,Hardware,1580.00,63,39,1295.60,284.40
2025-08-01,South,Widget,Hardware,1430.00,57,35,1144.00,286.00
2025-08-01,South,Gadget,Hardware,1730.00,69,43,1418.60,311.40
2025-08-01,East,Widget,Hardware,1580.00,63,39,1264.00,316.00
2025-08-01,East,Gadget,Hardware,1880.00,75,47,1541.60,338.40
2025-09-01,North,Widget,Hardware,1320.00,52,33,1056.00,264.00
2025-09-01,North,Gadget,Hardware,1620.00,64,40,1328.40,291.60
2025-09-01,South,Widget,Hardware,1470.00,58,36,1176.00,294.00
2025-09-01,South,Gadget,Hardware,1770.00,70,44,1451.40,318.60
2025-09-01,East,Widget,Hardware,1620.00,64,40,1296.00,324.00
2025-09-01,East,Gadget,Hardware,1920.00,76,48,1574.40,345.60
2025-10-01,North,Widget,Hardware,1360.00,54,34,1088.00,272.00
2025-10-01,North,Gadget,Hardware,1660.00,66,41,1361.20,298.80
2025-10-01,South,Widget,Hardware,1510.00,60,37,1208.00,302.00
2025-10-01,South,Gadget,Hardware,1810.00,72,45,1484.20,325.80
2025-10-01,East,Widget,Hardware,1660.00,66,41,1328.00,332.00
2025-10-01,East,Gadget,Hardware,1960.00,78,49,1607.20,352.80
2025-11-01,North,Widget,Hardware,1400.00,56,35,1120.00,280.00
2025-11-01,North,Gadget,Hardware,1700.00,68,42,1394.00,306.00
2025-11-01,South,Widget,Hardware,1550.00,62,38,1240.00,310.00
2025-11-01,South,Gadget,Hardware,1850.00,74,46,1517.00,333.00
2025-11-01,East,Widget,Hardware,1700.00,68,42,1360.00,340.00
2025-11-01,East,Gadget,Hardware,2000.00,80,50,1640.00,360.00
2025-12-01,North,Widget,Hardware,1440.00,57,36,1152.00,288.00
2025-12-01,North,Gadget,Hardware,1740.00,69,43,1426.80,313.20
2025-12-01,South,Widget,Hardware,1590.00,63,39,1272.00,318.00
2025-12-01,South,Gadget,Hardware,1890.00,75,47,1549.80,340.20
2025-12-01,East,Widget,Hardware,1740.00,69,43,1392.00,348.00
2025-12-01,East,Gadget,Hardware,2040.00,81,51,1672.80,367.20
2026-01-01,North,Widget,Hardware,1480.00,59,37,1184.00,296.00
2026-01-01,North,Gadget,Hardware,1780.00,71,44,1459.60,320.40
2026-01-01,South,Widget,Hardware,1630.00,65,40,1304.00,326.00
2026-01-01,South,Gadget,Hardware,1930.00,77,48,1582.60,347.40
2026-01-01,East,Widget,Hardware,1780.00,71,44,1424.00,356.00
2026-01-01,East,Gadget,Hardware,2080.00,83,52,1705.60,374.40
2026-02-01,North,Widget,Hardware,1520.00,60,38,1216.00,304.00
2026-02-01,North,Gadget,Hardware,1820.00,72,45,1492.40,327.60
2026-02-01,South,Widget,Hardware,1670.00,66,41,1336.00,334.00
2026-02-01,South,Gadget,Hardware,1970.00,78,49,1615.40,354.60
2026-02-01,East,Widget,Hardware,1820.00,72,45,1456.00,364.00
2026-02-01,East,Gadget,Hardware,2120.00,84,53,1738.40,381.60
2026-03-01,North,Widget,Hardware,1560.00,62,39,1248.00,312.00
2026-03-01,North,Gadget,Hardware,1860.00,74,46,1525.20,334.80
2026-03-01,South,Widget,Hardware,1710.00,68,42,1368.00,342.00
2026-03-01,South,Gadget,Hardware,2010.00,80,50,1648.20,361.80
2026-03-01,East,Widget,Hardware,1860.00,74,46,1488.00,372.00
2026-03-01,East,Gadget,Hardware,2160.00,86,54,1771.20,388.80
2026-04-01,North,Widget,Hardware,1600.00,64,40,1280.00,320.00
2026-04-01,North,Gadget,Hardware,1900.00,76,47,1558.00,342.00
2026-04-01,South,Widget,Hardware,1750.00,70,43,1400.00,350.00
2026-04-01,South,Gadget,Hardware,2050.00,82,51,1681.00,369.00
2026-04-01,East,Widget,Hardware,18000.00,720,450,14400.00,3600.00
2026-04-01,East,Gadget,Hardware,2200.00,88,55,1804.00,396.00
2026-05-01,North,Widget,Hardware,1312.00,52,32,1049.60,262.40
2026-05-01,North,Gadget,Hardware,1552.00,62,38,1272.64,279.36
2026-05-01,South,Widget,Hardware,1790.00,71,44,1432.00,358.00
2026-05-01,South,Gadget,Hardware,2090.00,83,52,1713.80,376.20
2026-05-01,East,Widget,Hardware,1940.00,77,48,1552.00,388.00
2026-05-01,East,Gadget,Hardware,2240.00,89,56,1836.80,403.20
2026-06-01,North,Widget,Hardware,1092.00,43,27,873.60,218.40
2026-06-01,North,Gadget,Hardware,1287.00,51,32,1055.34,231.66
2026-06-01,South,Widget,Hardware,1830.00,73,45,1756.80,73.20
2026-06-01,South,Gadget,Hardware,2130.00,85,53,2044.80,85.20
2026-06-01,East,Widget,Hardware,1980.00,79,49,1584.00,396.00
2026-06-01,East,Gadget,Hardware,2280.00,91,57,1869.60,410.40
2025-01-01,North,Widget,Hardware,1000.00,40,25,800.00,200.00
